client_id,Variation,clnt_age,clnt_tenure_yr,bal,num_accts,calls_6_mnth,logons_6_mnth,gendr,completed,age_group,tenure_group
555,Test,29.5,3.0,25454.66,2.0,2.0,6.0,U,True,25-34,0-5 yrs
647,Test,57.5,12.0,30525.8,2.0,0.0,4.0,M,True,55-64,11-20 yrs
934,Test,51.0,9.0,32522.88,2.0,0.0,3.0,F,False,45-54,6-10 yrs
1028,Control,36.0,12.0,103520.22,3.0,1.0,4.0,M,False,35-44,11-20 yrs
1104,Control,48.0,5.0,154643.94,3.0,6.0,9.0,U,False,45-54,0-5 yrs
1186,Control,22.0,8.0,31662.52,2.0,0.0,3.0,U,False,<25,6-10 yrs
1195,Control,54.5,21.0,28457.96,2.0,2.0,5.0,M,True,45-54,20+ yrs
1197,Control,28.5,7.0,177062.14,5.0,5.0,8.0,U,True,25-34,6-10 yrs
1336,Test,42.0,48.0,130537.18,4.0,6.0,9.0,M,True,35-44,20+ yrs
1346,Test,46.0,14.0,822512.91,2.0,3.0,6.0,F,False,45-54,11-20 yrs
1368,Control,45.0,5.0,61956.25,3.0,6.0,9.0,F,False,35-44,0-5 yrs
1516,Test,58.5,12.0,25408.39,2.0,5.0,8.0,F,True,55-64,11-20 yrs
1643,Test,55.0,19.0,81731.39,2.0,0.0,3.0,M,True,45-54,11-20 yrs
1702,Test,62.5,21.0,1769255.99,3.0,5.0,8.0,U,True,55-64,20+ yrs
1755,Test,46.5,9.0,179775.21999999997,2.0,0.0,3.0,M,True,45-54,6-10 yrs
1836,Test,51.5,13.0,826232.62,2.0,4.0,7.0,M,True,45-54,11-20 yrs
1936,Test,26.5,5.0,52447.9,2.0,6.0,9.0,M,True,25-34,0-5 yrs
2439,Control,56.0,11.0,504142.55,2.0,0.0,3.0,M,False,55-64,11-20 yrs
2581,Control,22.0,4.0,24976.79,2.0,1.0,4.0,M,False,<25,0-5 yrs
2720,Test,25.0,9.0,81536.0,3.0,6.0,9.0,M,False,<25,6-10 yrs
3232,Test,52.0,9.0,45617.96,2.0,3.0,6.0,F,True,45-54,6-10 yrs
3572,Test,54.5,15.0,84673.58,2.0,0.0,3.0,M,True,45-54,11-20 yrs
3647,Control,63.0,15.0,154244.15,2.0,4.0,7.0,F,False,55-64,11-20 yrs
3743,Control,30.0,6.0,48262.21,3.0,3.0,6.0,U,True,25-34,6-10 yrs
4369,Test,70.5,14.0,191263.96,2.0,0.0,3.0,F,True,65+,11-20 yrs
4484,Test,48.5,16.0,51499.77,2.0,2.0,5.0,M,True,45-54,11-20 yrs
4603,Test,38.5,12.0,48726.26,2.0,6.0,9.0,F,True,35-44,11-20 yrs
4717,Test,58.0,7.0,1739571.5499999998,2.0,6.0,9.0,U,True,55-64,6-10 yrs
4870,Test,26.5,21.0,89408.8,3.0,6.0,9.0,M,True,25-34,20+ yrs
