Variation,process_step,visits,previous_visits,step_dropoff,step_dropoff_rate
Control,start,30910,,,
Control,step_1,23548,30910.0,7362.0,0.2381753477838887
Control,step_2,20138,23548.0,3410.0,0.14481059962629522
Control,step_3,18300,20138.0,1838.0,0.09127023537590624
Control,confirm,16046,18300.0,2254.0,0.12316939890710382
Test,start,33157,,,
Test,step_1,28285,33157.0,4872.0,0.14693729830804958
Test,step_2,24503,28285.0,3782.0,0.133710447233516
Test,step_3,22186,24503.0,2317.0,0.09455984981430846
Test,confirm,21731,22186.0,455.0,0.020508428738844318
