Variation,week,total_clients,completed_clients,completion_rate,dropoff_rate
Control,2017-03-13,223,133,0.5964125560538116,0.4035874439461884
Control,2017-03-20,311,164,0.5273311897106109,0.4726688102893891
Control,2017-03-27,5211,3259,0.6254077912109001,0.37459220878909993
Control,2017-04-03,6592,3332,0.5054611650485437,0.49453883495145634
Control,2017-04-10,4445,2459,0.5532058492688414,0.4467941507311586
Control,2017-04-17,2856,1559,0.5458683473389355,0.4541316526610645
Control,2017-04-24,1023,469,0.458455522971652,0.541544477028348
Control,2017-05-01,1037,439,0.42333654773384766,0.5766634522661523
Control,2017-05-08,1310,742,0.566412213740458,0.433587786259542
Control,2017-05-15,1350,780,0.5777777777777777,0.4222222222222223
Control,2017-05-22,1019,568,0.5574092247301276,0.44259077526987245
Control,2017-05-29,1176,656,0.5578231292517006,0.44217687074829937
Control,2017-06-05,1042,585,0.5614203454894434,0.4385796545105566
Control,2017-06-12,959,537,0.5599582898852972,0.44004171011470283
Control,2017-06-19,383,218,0.5691906005221932,0.43080939947780683
Test,2017-03-13,266,168,0.631578947368421,0.368421052631579
Test,2017-03-20,376,229,0.6090425531914894,0.39095744680851063
Test,2017-03-27,6507,4487,0.6895650837559552,0.31043491624404485
Test,2017-04-03,7448,4348,0.583780880773362,0.416219119226638
Test,2017-04-10,5775,3711,0.6425974025974026,0.3574025974025974
Test,2017-04-17,3710,2412,0.6501347708894879,0.3498652291105121
Test,2017-04-24,1320,763,0.578030303030303,0.421969696969697
Test,2017-05-01,1425,828,0.5810526315789474,0.4189473684210526
Test,2017-05-08,1273,740,0.5813040062843676,0.4186959937156324
Test,2017-05-15,1119,629,0.5621090259159964,0.43789097408400357
Test,2017-05-22,843,500,0.5931198102016607,0.4068801897983393
Test,2017-05-29,1073,627,0.5843429636533085,0.4156570363466915
Test,2017-06-05,970,544,0.5608247422680412,0.43917525773195876
Test,2017-06-12,798,452,0.5664160401002506,0.4335839598997494
Test,2017-06-19,305,178,0.5836065573770491,0.41639344262295086
